,SkilledHealthStaffInPercOfTotal,beds_per_1000,Women_Political_Empowerment,Democracy_Index,Public_health_spending,GDP_per_capita,GINI,Capacity,Maternal_mortality_ratio,Population,birthRatePer1000population
NIC,,0.92,0.673,0.051,61.0,2035.16750115975,,0.060740001,74.43286,4957818.0,21.209
NLD,,3.17,0.885,0.831,66.0,53955.0770024266,28.1,2.3310000896453857,3.9909272,3048465.0,9.8
NOR,99.2,3.53,0.95,0.845,86.0,82792.8427113304,27.6,2.5460000038146973,1.9932039,11227118.0,10.4
NPL,,0.25,0.756,0.518,24.0,1179.19843190389,,-0.089230001,201.15369,159336.0,21.122
NRU,,,,,88.0,11408.6947593898,,,,65941.0,30.66
NZL,96.4,2.63,0.942,0.835,75.0,43228.6976473771,,2.2300000190734863,7.88525,1270737.0,11.84
OMN,98.6,1.09,0.365,0.142,86.0,19901.7615642016,,1.222000002861023,15.868879,82905782.0,19.269
PAK,69.3,0.51,0.628,0.254,33.0,1569.33814626355,29.6,0.0293600000441074,177.72769,68174.0,29.343
PAN,92.9,1.96,0.791,0.539,58.0,16151.3273478476,49.2,0.4670999944210052,47.07842,5793636.0,18.52
PER,93.7,1.59,0.833,0.699,62.0,6978.49121548627,42.4,0.8468999862670898,62.554718,31897584.0,16.93
PHL,,0.95,0.803,0.316,39.0,3168.51036606257,42.3,0.6538000106811523,82.29472,109465287.0,19.418
PLW,100.0,,,,43.0,16197.7254546986,,,,17814.0,12.004
PNG,56.4,,0.454,0.349,70.0,2566.36833735041,,-0.194399998,199.06436,9394513.0,26.956
POL,99.8,6.44,0.862,0.523,71.0,15658.2120316794,30.2,1.3530000448226929,1.865067,37974750.0,10.2
PRI,,,,,,31615.0667918433,,,17.928343,3193354.0,6.7
PRK,,,0.271,0.014,,,,0.2401999980211258,107.161026,25931147.0,13.427
PRT,99.9,3.44,0.932,0.849,61.0,23541.1401075289,33.5,1.7480000257492063,10.980132,10283822.0,8.4
PRY,97.7,0.9,0.685,0.416,45.0,6258.44991640954,46.0,0.1199000030755996,69.763466,6427382.0,21.836
PSE,,,,,30.0,3562.33094270256,,,20.956968,4569087.0,30.529
PYF,,,,,,21925.616043938,,,,279815.0,12.812
QAT,100.0,1.03,0.356,0.091,85.0,71039.8490579352,,0.9569000005722046,6.29586,2580734.0,9.921
ROU,93.1,6.92,0.863,0.483,80.0,12502.2624061935,35.8,1.093999981880188,11.401431,19473970.0,10.4
RUS,99.7,7.17,0.677,0.104,59.0,11211.8876953125,35.3,0.639199972,8.779488,145398106.0,10.9
RWA,,0.72,0.815,0.116,35.0,771.773521962568,,0.7656999826431274,281.36148,12487996.0,31.231
SAU,99.4,2.15,0.263,0.043,70.0,28036.0264674095,,0.4212000072002411,16.778631,30196281.0,19.739
SDN,,0.66,0.421,0.068,23.0,731.027465820313,,-1.105000019,292.99188,44230596.0,35.074
SEN,74.2,,0.835,0.542,25.0,1452.55612562445,38.3,0.257099986,277.48837,15914498.0,31.596
SGP,99.6,2.5,0.806,0.333,51.0,66840.6373389791,,1.6749999523162842,6.6709085,5638676.0,8.8
SLB,,,0.46,0.465,77.0,2278.20633913383,,-0.506799996,127.143265,709101.0,29.147
