country_ISO3,v2x_libdem,v2elfemrst,v2elgvsuflvl,v2fsuffrage,v2pepwrses,v2pepwrgen,v2clgencl,v2peapsgen,v2peapsgeo,v2cacamps,v2x_neopat,v2xnp_client,v2xnp_regcorr,v2x_civlib,v2x_clphy,v2x_clpol,v2x_clpriv,v2xpe_exlecon,v2xpe_exlgender,v2xpe_exlgeo,v2xpe_exlpol,v2xpe_exlsocgr,v2x_corr,v2x_gender,v2x_gencl,v2x_gencs,v2x_genpp,v2x_rule,v2smpolsoc,e_v2x_civlib_5C,e_v2x_clpol_5C,e_v2x_clpriv_5C,e_v2x_corr_5C,e_v2x_gencl_5C,e_v2x_gencs_5C,e_v2x_gender_5C,e_v2x_genpp_5C,e_v2x_libdem_5C,e_v2x_liberal_5C,e_wbgi_gee,e_wbgi_pve,e_peedgini,e_miferrat,e_pechmor,e_pematmor,e_wb_pop
ECU,0.473,,,100.0,1.11,0.996,2.267,-0.186,0.436,1.649,0.444,0.549,0.551,0.905,0.96,0.855,0.915,0.449,0.29,0.459,0.18,0.35,0.638,0.862,0.811,0.807,0.987,0.523,-1.155,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.5,0.75,-0.47,-0.27,,1.97,13.5,,17588595.0
FRA,0.789,,,100.0,1.387,2.646,3.375,2.098,2.26,0.293,0.071,0.066,0.085,0.915,0.936,0.946,0.882,0.099,0.061,0.056,0.054,0.104,0.058,0.931,0.902,0.911,0.999,0.957,-0.75,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,1.205,0.281,,1.79,3.83,,67571107.0
DEU,0.824,,,100.0,1.566,2.891,2.854,2.723,2.145,-0.918,0.025,0.052,0.013,0.955,0.975,0.95,0.951,0.029,0.044,0.048,0.018,0.022,0.016,0.953,0.973,0.9,0.997,0.991,0.136,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.314,0.645,,1.53,3.24,,83160871.0
GTM,0.406,,,100.0,0.15,0.998,0.8,-0.645,-0.993,0.04,0.553,0.772,0.813,0.737,0.705,0.796,0.721,0.821,0.624,0.664,0.374,0.746,0.757,0.698,0.454,0.758,0.886,0.376,-1.329,0.75,0.75,0.75,0.75,0.5,0.75,0.75,1.0,0.5,0.75,-0.713,-0.416,,2.47,24.26,,16858333.0
IRN,0.113,2.0,8.0,100.0,0.436,-0.949,-0.321,-1.287,0.145,1.398,0.798,0.427,0.728,0.234,0.224,0.143,0.338,0.505,0.863,0.431,0.905,0.762,0.778,0.333,0.411,0.263,0.314,0.233,-1.356,0.25,0.0,0.25,0.75,0.5,0.25,0.25,0.25,0.0,0.25,-1.017,-1.699,,1.7,13.38,,87290193.0
IRQ,0.233,,,100.0,0.1,-0.537,-0.642,-0.334,-0.803,1.411,0.708,0.84,0.884,0.405,0.188,0.475,0.548,0.822,0.88,0.699,0.839,0.865,0.874,0.52,0.311,0.464,0.787,0.211,-2.48,0.5,0.5,0.5,1.0,0.25,0.5,0.5,0.75,0.25,0.5,-1.303,-2.475,,3.42,25.11,,42556984.0
IRL,0.827,2.0,8.0,100.0,1.411,1.712,2.269,2.547,1.881,-2.496,0.049,0.15,0.023,0.958,0.975,0.974,0.936,0.067,0.069,0.089,0.038,0.047,0.032,0.925,0.947,0.891,0.957,0.982,0.279,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.436,0.965,,1.65,3.19,,4985382.0
ITA,0.78,,,100.0,1.71,2.376,3.472,3.089,2.022,0.501,0.11,0.139,0.098,0.91,0.928,0.958,0.857,0.056,0.048,0.043,0.027,0.042,0.181,0.92,0.895,0.889,0.997,0.895,-0.658,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,0.361,0.399,,1.24,2.83,,59438851.0
JOR,0.241,2.0,8.0,100.0,0.569,-0.499,1.462,1.404,0.137,-0.622,0.396,0.525,0.381,0.648,0.747,0.521,0.683,0.354,0.315,0.355,0.356,0.489,0.496,0.626,0.725,0.676,0.521,0.659,0.131,0.75,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.25,0.75,0.095,-0.268,,2.79,15.29,,10928721.0
LVA,0.739,,,100.0,1.132,2.25,2.575,2.934,2.53,-2.478,0.06,0.153,0.044,0.948,0.963,0.954,0.939,0.03,0.03,0.048,0.032,0.053,0.1,0.951,0.944,0.938,0.99,0.956,0.536,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,0.838,0.462,,1.55,3.64,,1900449.0
LSO,0.509,,,100.0,0.985,1.704,1.006,-0.857,-0.57,0.057,0.299,0.57,0.383,0.808,0.73,0.847,0.864,0.31,0.372,0.516,0.502,0.253,0.477,0.789,0.802,0.644,0.961,0.661,-0.769,1.0,1.0,1.0,0.5,1.0,0.75,0.75,1.0,0.5,0.75,-0.979,-0.254,,2.85,75.69,,2254100.0
LBR,0.419,,,100.0,1.123,2.04,0.458,-0.342,-1.002,-0.206,0.641,0.761,0.836,0.849,0.831,0.889,0.843,0.687,0.576,0.832,0.723,0.662,0.86,0.818,0.71,0.865,0.904,0.322,1.472,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.5,0.75,-1.46,-0.314,,4.17,67.14,,5087584.0
MWI,0.463,2.0,8.0,100.0,-0.477,1.071,-0.223,-0.981,-1.136,-0.738,0.374,0.621,0.592,0.867,0.929,0.823,0.867,0.599,0.469,0.659,0.411,0.49,0.654,0.809,0.819,0.711,0.922,0.642,1.445,1.0,1.0,1.0,0.75,1.0,0.75,1.0,1.0,0.5,1.0,-0.818,-0.119,,3.88,45.07,,19377061.0
MDV,0.425,,,100.0,0.629,0.418,1.176,0.433,0.976,0.538,0.348,0.395,0.396,0.736,0.859,0.795,0.565,0.227,0.421,0.381,0.298,0.195,0.478,0.589,0.549,0.656,0.564,0.663,0.892,0.75,0.75,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.75,-0.131,0.363,,1.61,7.87,,514438.0
MNG,0.519,2.0,8.0,100.0,0.525,1.107,1.757,0.757,0.632,0.047,0.344,0.483,0.646,0.865,0.925,0.879,0.805,0.353,0.224,0.304,0.207,0.231,0.692,0.853,0.817,0.884,0.875,0.577,0.805,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.5,1.0,-0.42,0.718,,2.95,15.06,,3294335.0
